LOCATION,Country,Value,GDPPerCapita
AUS,Australia,7.3,48899.123
AUT,Austria,7.1,48004.66
BEL,Belgium,6.9,45046.937
BRA,Brazil,6.5,15241.731
CAN,Canada,7.4,46437.158
CHL,Chile,6.5,24112.937
CZE,Czech Republic,6.6,33231.522
DNK,Denmark,7.5,47985.371
EST,Estonia,5.6,29312.897
FIN,Finland,7.4,42164.604
FRA,France,6.4,42313.992
DEU,Germany,7,48110.846
GRC,Greece,5.6,26669.1
HUN,Hungary,5.3,27481.793
ISL,Iceland,7.5,49135.582
IRL,Ireland,6.8,69230.815
ISR,Israel,7.1,35178.672
ITA,Italy,5.8,36833.094
JPN,Japan,5.9,41274.605
KOR,Korea,5.8,37740.396
LUX,Luxembourg,6.7,104003.301
MEX,Mexico,6.2,18938.32
NLD,Netherlands,7.3,51049.02
NZL,New Zealand,7.4,37293.984
NOR,Norway,7.6,69249.46
POL,Poland,6,27764.261
PRT,Portugal,5.1,28933.32
RUS,Russia,6,26489.824
SVK,Slovak Republic,6.2,31338.806
SVN,Slovenia,5.7,32084.867
ESP,Spain,6.4,36415.964
SWE,Sweden,7.3,49836.222
CHE,Switzerland,7.6,59560.695
TUR,Turkey,5.5,24911.75
GBR,United Kingdom,6.5,42480.715
USA,United States,6.9,57436.409
